score,text
83.20457026922831,Lyin Brian Williams of MSDNC 
459.8649066688497,I must admit that Lyin Brian Williams is while dumber than hell quite a bit smarter than Fake News CNN anchorman Don Lemon the dumbest man on television Then you have Psycho Joe What Ever Happened To Your Girlfriend Scarborough another of the low IQ individuals
482.62053888754997,Lyin Brian Williams of MSDNC a Concast Scam Company wouldnt know the truth if it was nailed to his wooden forehead Remember when he lied about his bravery in a helicopter Totally made up story Hes a true dummy who was thrown off Network News like a dog Stay tuned
530.2184106447569,Just told that Fake News CNN is falsely reporting that I was recently shouting at my campaign manager over made up nonsense Actually he is doing a great job I never shouted at him been with me for years including the 2016 win amp have no intention to do so Just FAKE NEWS
508.0919155354348,CNN doesnt want to speak about their persecution of General Michael Flynn amp why they got the story so wrong They along with others should pay a big price for what they have purposely done to this man amp his family They wont even cover the big breaking news about this scam
51.83751625466086,RT GenFlynn 
67.04992291973555,RT realDonaldTrump 
67.04992291973555,RT realDonaldTrump 
126.49006527343538,Happy Birthday to three time Olympian and five term Congressman JimRyun
51.83751625466086,RT GenFlynn 
121.17096469024288,RT WhiteHouse LIVE POTUS holds a roundtable with industry executives 
258.56659242074414,RT WhiteHouse Our nation has ample supply of foodand President realDonaldTrump is clearing the bottleneck and ensuring that our farmers
257.4689481433663,RT LouisianaGov Brighter days are ahead for Louisiana and by working together with our federal officials I know we will get through this
273.9711537213272,RT LouisianaGov I again want to thank realDonaldTrump and VP for supporting the people of Louisiana during this difficult time We had
271.819047801752,RT MeatInstitute We are grateful to realDonaldTrump for protecting our nations food supply said MeatInstitute Pres amp CEO Julie Ann
458.28106453776263,No I think Amash would make a wonderful candidate especially since he is way behind in his district and has no chance of maintaining his Congressional seat He almost always votes for the Do Nothing Dems anyway I like him even more than Jill Stein 
64.24539873076282,THANK YOU MarkLevinShow 
225.6234288607899,RT TrumpWarRoom Yahoo reporter apologizes to President Trump after making false coronavirus test claim in Oval Office meeting 
166.06001730443535,At least they admit it The Failing nytimes amp washingtonpost never correct their Fake Reporting 
296.2222224465498,RT ErinMPerrine  TUNE IN NOW Tonights TeamTrump Online has two of the best gt LaraLeaTrump amp kevinomccarthy talking about Slee
285.57392314566107,RT TeamTrump WATCH Team Trump Online with LaraLeaTrump and House GOP Leader KevinMcCarthy TeamTrumpText TRUMP to 88022 
284.37135849801695,RT TeamTrump Tisa Clark CEO Of JD Clark Professional Services credits the PaycheckProtectionProgram for allowing her to keep her wor
289.94050520890147,RT EquipoTrump As Trump campaign senior advisor mercedesschlapp said today Joe Biden's plan to ease sanctions on the Cuban and Venezuel
193.68211777126555,RT TrumpWarRoom Joe Biden rambles and struggles for words during interview on coronavirus response 
179.6272991355432,RT DailyCaller Joe Bidens town hall with Hillary Clinton got off to a fantastic start 
242.28110515464397,RT TrumpWarRoom A reporter angrily insisted he was right about coronavirus testing data In fact he was wrong and President Trump was r
289.61762139724823,RT TrumpWarRoom Joe Biden forgot he's supposed to be lying about President Trump's coronavirus response  and he actually told the truth
245.4365972176324,RT TrumpWarRoom Joe Biden spent 44 years in Washington standing up FOR ChinaYou can't teach an old dog new tricks 
407.94628661890323,The only reason the US has reported one million cases of CoronaVirus is that our Testing is sooo much better than any other country in the World Other countries are way behind us in Testing and therefore show far fewer cases
77.43947441528677,THANK YOU MICHAEL bittyandbeaus 
175.40410735146367,RT WhiteHouse We built the greatest economy in the worldand together we will build it again 
272.19087041127017,RT GLFOP Thank you President realDonaldTrump for your steadfast unapologetic support of law enforcement during COVID19 From DAY ONE
116.80359562307571,RT WhiteHouse LIVE POTUS delivers remarks on supporting small businesses 
124.82211756986402,Thank you BlueAngels and AFThunderbirds AmericaStrong 
301.89923344562783,RT TomFitton BREAKING Emails show Obama FBI was out to get GenFlynn and also knew McCain leaked antirealDonaldTrump dossier Judicia
176.19451878766475,RT nedryun A fifth to half of all coronavirus deaths have been in nursing homes 
183.11833689715178,RT GreggJarrett Newly Declassified Documents Show John Kerrys State Department Spread Russia Collusion Narrative 
185.15256990466372,RT GreggJarrett Newly Revealed Docs Support Flynns Innocence Case Against Him Should Be Tossed 
122.9205131933097,But I love Diamond amp Silk and so do millions of people 
243.8734034303292,RT WhiteHouse 45 days ago business leaders joined President realDonaldTrump in the Rose Garden to help launch a new critical partnersh
177.88124729826123,Texas to open businesses in phases beginning Friday Great job being done by GregAbbottTX
92.84322239175928,Many States moving to SAFELY amp QUICKLY reopen
537.5156292521725,We are doing far more and better Testing than any other country in the world and yet the media does nothing but complain No matter how good a job is done the same as with the Ventilators they will never say we are doing a great job they will only viciously gripe
266.43041011739746,RT TheCounter First there is no shortage of meat destined for the grocery store shelf It might take stores longer than usual to resto
67.04992291973555,RT realDonaldTrump 
230.9287444708365,RT JimJordan Attorney General Barrs Memo to US Attorneys The Constitution is not suspended in times of crisis The Attorney Ge
72.37777880916038,Because Shifty is a crooked politician 
126.57859156025302,RT realDonaldTrump FAKE NEWS THE ENEMY OF THE PEOPLE
270.6015964826547,RT realDonaldTrump There has never been in the history of our Country a more vicious or hostile Lamestream Media than there is right no
236.34340755886154,RT realDonaldTrump Blame the Democrats for any lateness in your Enhanced Unemployment Insurance I wanted the money to be paid directly
90.55517002772856,RT realDonaldTrump So true
256.7278895349751,RT WhiteHouse President realDonaldTrump's plan for Opening Up America Again outlined a threephased approach based on the advice of publ
226.43806899607313,RT WhiteHouse We're doing everything in our power to heal the sick and to gradually reopen our Nation 
218.66819909975953,RT WhiteHouse As one American family we grieve with those who have suffered the loss of loved ones 
122.7906100688063,RT WhiteHouse LIVE President realDonaldTrump holds a news conference 
158.05106439619365,I will be having a White House Press Conference today at 530 PM Thank you
454.32967219241135,Why should the people and taxpayers of America be bailing out poorly run states like Illinois as example and cities in all cases Democrat run and managed when most of the other states are not looking for bailout help I am open to discussing anything but just asking
77.85413669599707,FAKE NEWS THE ENEMY OF THE PEOPLE
326.0531263552232,There has never been in the history of our Country a more vicious or hostile Lamestream Media than there is right now even in the midst of a National Emergency the Invisible Enemy
385.6508486216096,Blame the Democrats for any lateness in your Enhanced Unemployment Insurance I wanted the money to be paid directly they insisted it be paid by states for distribution I told them this would happen especially with many states which have old computers
37.891276047623016,So true 
271.37272908903856,RT realDonaldTrump I never said the pandemic was a Hoax Who would say such a thing I said that the Do Nothing Democrats together with
270.8403594611299,RT realDonaldTrump The people that know me and know the history of our Country say that I am  the hardest working President in history I
319.87459030035467,RT SilERabbit Sloppy Joe is trending I wonder if it's because of this You can tell it's a deep fake because Jill Biden isn't covering f
233.86891950629052,RT EricTrump Article should have read Trump as businessman had a passive noncontrolling/managing interest in an office building which
256.45416099440774,RT BarbaraRedgate Devin NunesWhy is General Flynn Important Because He Was Framed By His Own Government HumanScum DevinNunes Gen
249.25901911176777,RT JessieJaneDuff Despite Democrats resistance to help small businesses President realDonaldTrump will get the economy going and Americ
231.04803214640813,RT JessieJaneDuff Lefty holier than thou Media Matters founder David Brock who spends millions targeting President Trump is accused of
140.2954242328021,RT InsurancePlanX Democrats are not sending us their bestor are they
285.17006554270824,RT dbongino Heres what serial fraudster amp generational corruptocrat Nancy Pelosi was REALLY up to when the Wuhan Virus was raging amp th
200.68828248397247,RT seanhannity Report FBI Knew McCain Leaked Steele Dossier Now Blames Coronavirus For Not Releasing Documents 
186.91234400451077,RT dbongino Former NSC Chief of Staff Says John Brennan Hid Evidence Putin Favored Hillary in 2016 
254.4119642461226,RT RealCandaceO Youre a racist radical communist that wants to expand government control and dependency and you are using the plight o
280.2993871793335,RT GOPChairwoman Once again Nancy Pelosi is lying about her needless delayShe stood in front of her fancy refrigerator and congratula
151.77048986069468,RT SecondLady Wishing you a very special birthday FLOTUS Happy Birthday 
150.0294737225616,American citizens We were long ahead of Dems who were all against the BAN 
227.191230795083,RT johncardillo Three failed coup attempts1  Russia Collusion hoax during campaign2  Mueller's sham 3  Illegitimate impeachment
287.2656830109188,RT MariaBartiromo Breaking News sources tell me GenFlynn will be completely exonerated this week  It was a total fraud  A Set up  Mo
29.355336445708183,Great 
241.20390434052607,RT LindaSuhler Dear GodThank you for answering our prayersA grateful NationGodBlessAmerica PresidentTrump ElectionDay 
284.20320089745053,RT TeamTrump WATCH Team Trump Online with CLewandowski Rep MattGaetz and Rep EliseStefanik TeamTrumpText TRUMP to 88022 
228.26560109522308,RT realDonaldTrump Remember the Cure cant be worse than the problem itself Be careful be safe use common sense
282.6368678959228,RT GOPChairwoman From Day 1 Gretchen Whitmer has been too focused on politicsCase in point She just claimed she is not getting invo
141.53989800293672,They are one of the worst in the news business Total slime balls 
